dataset,Sample,mrr@10,ndcg@10,precision@10,recall@10,rmse,sparsity,effective_rank,norm_rmse,spectral_distance,rmse_svd
Amazon_Books,1,0.0776,0.0977,0.0173,0.1673,0.7041496651946436,0.999700376640972,0.9957537873805,1.0965527143332423,0.0617355443537235,0.6421484858781286
Amazon_Books,2,0.078,0.0964,0.0164,0.1591,0.704298756322395,0.9997075584068452,0.996161401717542,1.0903991031833318,0.0966690927743911,0.6459091485551042
Amazon_Books,3,0.0852,0.104,0.0174,0.1686,0.7067520897182988,0.9997083730622444,0.9915081399198422,1.1113052184551058,0.0820363163948059,0.6359657796809401
Amazon_Digital_Music,1,0.0698,0.0862,0.0158,0.157,0.7081502836853205,0.9986526691601496,0.9911863090229864,1.2060238179849008,0.1703196167945861,0.5871776934460066
Amazon_Digital_Music,2,0.0698,0.0862,0.0158,0.157,0.7081502836853205,0.9986526691601496,0.9911863090229864,1.2060238179849008,0.1703196167945861,0.5871776934460066
Amazon_Digital_Music,3,0.0698,0.0862,0.0158,0.157,0.7081502836853205,0.9986526691601496,0.9911863090229864,1.2060238179849008,0.1703196167945861,0.5871776934460066
Amazon_Grocery_and_Gourmet_Food,1,0.1364,0.1722,0.0293,0.2904,0.7074775762340623,0.9998046985869704,0.993768116703159,1.065604078878013,0.090480126440525,0.6639216105281557
Amazon_Grocery_and_Gourmet_Food,2,0.1398,0.1755,0.0297,0.2942,0.7069712028506394,0.9997993064812056,0.9972663294345472,1.0558564229481833,0.0533052235841751,0.6695713427367523
Amazon_Grocery_and_Gourmet_Food,3,0.1341,0.1691,0.0289,0.286,0.7076238182824852,0.9998012737566278,0.9969756835579998,1.060878365783383,0.0801019221544265,0.667016918343844
Amazon_Health_and_Personal_Care,1,0.039,0.054,0.0117,0.1144,0.7082169848609738,0.9965303130311864,0.9929532300557063,1.3662248928734124,0.1279049962759018,0.5183751141962202
Amazon_Health_and_Personal_Care,2,0.039,0.054,0.0117,0.1144,0.7082169848609738,0.9965303130311864,0.9929532300557063,1.3662248928734124,0.1279049962759018,0.5183751141962202
Amazon_Health_and_Personal_Care,3,0.039,0.054,0.0117,0.1144,0.7082169848609738,0.9965303130311864,0.9929532300557063,1.3662248928734124,0.1279049962759018,0.5183751141962202
Amazon_Movies_and_TV,1,0.1537,0.1873,0.0305,0.301,0.7050621263374371,0.9997517963986446,0.9959239918359892,1.0672879511150826,0.1620340794324875,0.6606109678281306
Amazon_Movies_and_TV,2,0.1564,0.1885,0.0299,0.2953,0.7055159290037564,0.9997504586789108,0.9956823326400204,1.0646614957978349,0.1558111906051635,0.6626668962749119
Amazon_Movies_and_TV,3,0.1583,0.1906,0.0302,0.2989,0.705399521887671,0.9997490978999252,0.9932455497302294,1.072733172443022,0.1517151892185211,0.6575722090156003
BeerAdvocate,1,0.2274,0.2503,0.0586,0.406,0.6942016643419594,0.9949817792519796,0.9856411998988216,1.5625345488165712,0.5397441387176514,0.4442792416127581
BeerAdvocate,2,0.224,0.2406,0.0614,0.3979,0.6900043607311389,0.9944849213215076,0.9844734164346192,1.5448330173925071,0.566207766532898,0.4466530382007134
BeerAdvocate,3,0.2534,0.264,0.0654,0.4206,0.6960301071511796,0.9949307255752444,0.982326273914885,1.6070265151701235,0.5306523442268372,0.4331167535698664
Behance,1,0.1642,0.2018,0.0417,0.3574,0.7012818019204029,0.9989690235306892,0.9898115933321012,1.1895510424910385,0.1156428530812263,0.5895348554794664
Behance,2,0.1659,0.2025,0.0409,0.3548,0.7024561774001298,0.9990097374263008,0.9876611560211468,1.2040140756785458,0.1597660183906555,0.5834285425643773
Behance,3,0.1763,0.2122,0.0435,0.369,0.7014899422352108,0.9989944456858696,0.991107303378577,1.194138646573014,0.1396892517805099,0.5874443007504817
DianPing,1,0.1483,0.1785,0.0333,0.2939,0.7073253209717614,0.999648896464064,0.9955631460667096,1.0804701550554068,0.0730017498135566,0.654645866581562
DianPing,2,0.1503,0.1791,0.0336,0.2933,0.70830210916102,0.9996527576869764,0.9974244072314394,1.0665013037173965,0.0928076803684234,0.6641361868871257
DianPing,3,0.1438,0.1715,0.0323,0.281,0.7080662775564363,0.9996526103049144,0.995634381844374,1.0784542788060492,0.1026031300425529,0.6565566027892555
Food,1,0.2307,0.2531,0.0475,0.3855,0.7065597563820657,0.9995661654874776,0.9927835412495256,1.1737172428441425,0.1179799288511276,0.6019846438226771
Food,2,0.2329,0.2588,0.0471,0.3894,0.7075229431449178,0.9995958077749032,0.986863694736686,1.2134245904190588,0.1242562085390091,0.5830794502858833
Food,3,0.2344,0.2593,0.0487,0.3966,0.7065978012478326,0.9995537610057688,0.9941057847821811,1.1633874959712869,0.116627886891365,0.6073623824346759
GoodReads,1,0.5385,0.3538,0.2003,0.3299,0.6914070689740691,0.99526948993992,0.9885292445275952,1.3520252510514528,0.654176652431488,0.5113862100107751
GoodReads,2,0.5182,0.3523,0.1874,0.3378,0.693996426916681,0.995299385540937,0.98680561923335,1.388002574806952,0.6346054673194885,0.4999964982148569
GoodReads,3,0.536,0.3576,0.1927,0.3454,0.6968091437522158,0.9956647240116042,0.984221341931383,1.4272092372129193,0.6177432537078857,0.4882319463633501
KDD2010-algebra2006_2007,1,0.5322,0.3523,0.2882,0.1453,0.706636097114864,0.974332641090245,0.9863941038327192,2.178938544897435,2.178825616836548,0.3243029037095335
KDD2010-algebra2006_2007,2,0.5579,0.4174,0.3367,0.1734,0.7096152113158217,0.9737381224281648,0.982464701254205,2.376108414633282,2.4356610774993896,0.2986459737887594
KDD2010-algebra2006_2007,3,0.5644,0.3741,0.3199,0.1499,0.7151333165091087,0.9755708906673096,0.9858212795663844,2.2407484142622023,2.1461503505706787,0.3191493127730613
ModCloth,1,0.23,0.2956,0.0515,0.5131,0.7272171024974137,0.991098239952125,0.9944407480921394,1.6022849625531912,0.3756404221057892,0.4538625272614528
ModCloth,2,0.23,0.2956,0.0515,0.5131,0.7272171024974137,0.991098239952125,0.9944407480921394,1.6022849625531912,0.3756404221057892,0.4538625272614528
ModCloth,3,0.23,0.2956,0.0515,0.5131,0.7272171024974137,0.991098239952125,0.9944407480921394,1.6022849625531912,0.3756404221057892,0.4538625272614528
RateBeer,1,0.3683,0.3611,0.0874,0.5019,0.6862194316080109,0.9953914354542625,0.9824416523164972,1.734968705842471,0.867631196975708,0.3955226565742548
RateBeer,2,0.3671,0.3601,0.0929,0.5051,0.6895389233336613,0.995396272283596,0.9795300196294804,1.7209899095625043,0.7716343402862549,0.4006641291168
RateBeer,3,0.3604,0.3603,0.0925,0.5153,0.6789406367154597,0.9946413798307328,0.9800675763734376,1.6953037839731082,1.0047608613967896,0.400483171885747
RentTheRunway,1,0.0974,0.1349,0.0264,0.2607,0.7055399219861807,0.9989667888922342,0.9943210393115134,1.0882523344924058,0.19895900785923,0.6483238304425656
RentTheRunway,2,0.0974,0.1349,0.0264,0.2607,0.7055399219861807,0.9989667888922342,0.9943210393115134,1.0882523344924058,0.19895900785923,0.6483238304425656
RentTheRunway,3,0.0974,0.1349,0.0264,0.2607,0.7055399219861807,0.9989667888922342,0.9943210393115134,1.0882523344924058,0.19895900785923,0.6483238304425656
