dataset,Sample,mrr@10,ndcg@10,precision@10,recall@10,rmse,sparsity,effective_rank,norm_rmse,spectral_distance,rmse_svd
DianPing,1,0.1483,0.1785,0.0333,0.2939,0.7073253209717614,0.999648896464064,0.9955631460667096,1.0804701550554068,0.0730017498135566,0.654645866581562
DianPing,2,0.1503,0.1791,0.0336,0.2933,0.70830210916102,0.9996527576869764,0.9974244072314394,1.0665013037173965,0.0928076803684234,0.6641361868871257
DianPing,3,0.1438,0.1715,0.0323,0.281,0.7080662775564363,0.9996526103049144,0.995634381844374,1.0784542788060492,0.1026031300425529,0.6565566027892555
Food,1,0.1831,0.2062,0.0399,0.3266,0.7084257589140476,0.9990723479876876,0.9923220652779554,1.241208798507765,0.1269852519035339,0.5707547028072534
Food,2,0.1898,0.2139,0.0406,0.3348,0.7090300237919173,0.9992046727571284,0.9854015581432056,1.298600630403451,0.1279283910989761,0.5459954409321631
Food,3,0.1941,0.2172,0.0418,0.3429,0.7088008674653947,0.9991145766214932,0.9899097424514623,1.252297689400597,0.1385434120893478,0.5660002996609033
GoodReads,1,0.4718,0.2925,0.1688,0.262,0.7128922971941004,0.9908130627726498,0.9857800400743152,1.6901345071443643,0.7650936841964722,0.4217961908834088
GoodReads,2,0.4705,0.2867,0.149,0.2738,0.7194138239534791,0.9913283362275516,0.9840687370714568,1.7027125162304428,0.7196862101554871,0.4225104455954528
GoodReads,3,0.484,0.3069,0.1679,0.2974,0.7135184671756162,0.9907690402306364,0.9836632285321368,1.7268473295364644,0.8040738105773926,0.4131914008675828
KDD2010-algebra2006_2007,1,0.5014,0.3189,0.2697,0.1051,0.7099258015371761,0.961413798425683,0.9778663421999136,2.100320288957897,1.9777599573135376,0.3380083529495473
KDD2010-algebra2006_2007,2,0.4765,0.3336,0.2733,0.1699,0.7114796091215189,0.9577164770783816,0.9593710321461442,2.539647870049328,2.368928909301758,0.2801489204515977
KDD2010-algebra2006_2007,3,0.7108,0.4398,0.3616,0.1434,0.7223553005106153,0.9628752743582404,0.9780466642064842,1.9871551896359176,1.848625659942627,0.3635122733634929
ModCloth,1,0.23,0.2956,0.0515,0.5131,0.7272171024974137,0.991098239952125,0.9944407480921394,1.6022849625531912,0.3756404221057892,0.4538625272614528
ModCloth,2,0.23,0.2956,0.0515,0.5131,0.7272171024974137,0.991098239952125,0.9944407480921394,1.6022849625531912,0.3756404221057892,0.4538625272614528
ModCloth,3,0.23,0.2956,0.0515,0.5131,0.7272171024974137,0.991098239952125,0.9944407480921394,1.6022849625531912,0.3756404221057892,0.4538625272614528
RateBeer,1,0.298,0.3002,0.0778,0.4421,0.7177253966570789,0.993106123279785,0.9796497658641292,2.2909349957694296,0.8153811693191528,0.3132892892999894
RateBeer,2,0.2517,0.2449,0.067,0.3647,0.7070238102474058,0.9912295746051144,0.975370964819905,2.146385944667528,0.8014224767684937,0.3294019940840242
RateBeer,3,0.2792,0.2857,0.0706,0.43,0.7144766526809009,0.9919777799037898,0.9739039828349396,2.447637078654353,0.9031971096992492,0.2919046532313938
