dataset_name,size,p,alpha,Structural Perturbation RMSE,Spectral Distance,Standard SVD RMSE
Amazon_Books_sample1_train,100k,0.05,0.0,0.6346922969134076,0.04165168,0.6019670323547773
Amazon_Books_sample2_train,100k,0.05,0.0,0.6365493988342555,0.042829994,0.6062809558834186
Amazon_Books_sample3_train,100k,0.05,0.0,0.6326126641838616,0.04478528,0.5972168184566798
Amazon_Digital_Music_sample1_train,100k,0.05,0.0,0.6611710177229364,0.07406453,0.5381350619773454
Amazon_Digital_Music_sample2_train,100k,0.05,0.0,0.6611710177229364,0.07406453,0.5381350619773454
Amazon_Digital_Music_sample3_train,100k,0.05,0.0,0.6611710177229364,0.07406453,0.5381350619773454
Amazon_Grocery_and_Gourmet_Food_sample1_train,100k,0.05,0.0,0.6514616775094564,0.061742347,0.6257177518695914
Amazon_Grocery_and_Gourmet_Food_sample2_train,100k,0.05,0.0,0.6512728522253938,0.07312461,0.6250665002819312
Amazon_Grocery_and_Gourmet_Food_sample3_train,100k,0.05,0.0,0.6497961283105441,0.06614556,0.6257740621954876
Amazon_Health_and_Personal_Care_sample1_train,100k,0.05,0.0,0.6114171046168448,0.049602766,0.44638651592513984
Amazon_Health_and_Personal_Care_sample2_train,100k,0.05,0.0,0.6114171046168448,0.049602766,0.44638651592513984
Amazon_Health_and_Personal_Care_sample3_train,100k,0.05,0.0,0.6114171046168448,0.049602766,0.44638651592513984
Amazon_Movies_and_TV_sample1_train,100k,0.05,0.0,0.6345957946905342,0.110441774,0.6050641954735423
Amazon_Movies_and_TV_sample2_train,100k,0.05,0.0,0.6351018735317361,0.11939665,0.6048968044488513
Amazon_Movies_and_TV_sample3_train,100k,0.05,0.0,0.6341332319789966,0.10707686,0.6036094406025994
BeerAdvocate_sample1_train,100k,0.05,0.0,0.4850488217373837,0.1877885,0.36425958183272034
BeerAdvocate_sample2_train,100k,0.05,0.0,0.4836094948896104,0.17747332,0.35871747047655284
BeerAdvocate_sample3_train,100k,0.05,0.0,0.4877162886591151,0.20238285,0.3600779871927578
Behance_sample1_train,100k,0.05,0.0,0.6999769264302568,0.07121519,0.6253066651921809
Behance_sample2_train,100k,0.05,0.0,0.7013494888951661,0.076171145,0.6232249274768599
Behance_sample3_train,100k,0.05,0.0,0.7002229956079692,0.07177538,0.6245794802608683
DianPing_sample1_train,100k,0.05,0.0,0.48780188918865436,0.030022793,0.46390625993885654
DianPing_sample2_train,100k,0.05,0.0,0.48726509059605433,0.031145277,0.46654929155944364
DianPing_sample3_train,100k,0.05,0.0,0.4862432878816298,0.029686218,0.4632269425786146
Food_sample1_train,100k,0.05,0.0,0.6705877068602345,0.049532663,0.5720389913890452
Food_sample2_train,100k,0.05,0.0,0.6738105973854497,0.05723996,0.5485867988536662
Food_sample3_train,100k,0.05,0.0,0.6707555644403701,0.046216737,0.5722568310265045
GoodReads_sample1_train,100k,0.05,0.0,0.5702842705397908,0.17062692,0.4246356109200144
GoodReads_sample2_train,100k,0.05,0.0,0.566719092641791,0.17957266,0.42025831023638854
GoodReads_sample3_train,100k,0.05,0.0,0.571840525411505,0.18476675,0.41315542744379696
KDD2010-algebra2006_2007_sample1_train,100k,0.05,0.0,0.7119636847712808,1.1123945,0.3262379459183777
KDD2010-algebra2006_2007_sample2_train,100k,0.05,0.0,0.7139064018333126,1.23435,0.29519711395345427
KDD2010-algebra2006_2007_sample3_train,100k,0.05,0.0,0.720994986767633,1.0994126,0.3217502081596033
ModCloth_sample1_train,100k,0.05,0.0,0.57343099846067,0.14807422,0.3557320657382526
ModCloth_sample2_train,100k,0.05,0.0,0.57343099846067,0.14807422,0.3557320657382526
ModCloth_sample3_train,100k,0.05,0.0,0.57343099846067,0.14807422,0.3557320657382526
RateBeer_sample1_train,100k,0.05,0.0,0.6948923403259998,0.38138828,0.4033670198712933
RateBeer_sample2_train,100k,0.05,0.0,0.6959390346807902,0.34757003,0.40474007727254097
RateBeer_sample3_train,100k,0.05,0.0,0.6900300217242793,0.44051805,0.4122367503077635
RentTheRunway_sample1_train,100k,0.05,0.0,0.634685819073186,0.06281946,0.5878054441299451
RentTheRunway_sample2_train,100k,0.05,0.0,0.634685819073186,0.06281946,0.5878054441299451
RentTheRunway_sample3_train,100k,0.05,0.0,0.634685819073186,0.06281946,0.5878054441299451
Twitch-100k_sample1_train,100k,0.05,0.0,0.6937228150833281,0.110560715,0.6587571344306326
Twitch-100k_sample2_train,100k,0.05,0.0,0.6928764358407061,0.11731043,0.6562923146780327
Twitch-100k_sample3_train,100k,0.05,0.0,0.6925326070458958,0.11487519,0.6564432235783563
anime_sample1_train,100k,0.05,0.0,0.5285463804078556,0.18697907,0.4206670234178376
anime_sample2_train,100k,0.05,0.0,0.536808544256783,0.19374014,0.4250053822975848
anime_sample3_train,100k,0.05,0.0,0.5331499343027436,0.19451876,0.42062788511933064
book-crossing_sample1_train,100k,0.05,0.0,0.5591706051470303,0.025588473,0.46962035844043887
book-crossing_sample2_train,100k,0.05,0.0,0.5624689484401518,0.026803399,0.4678803455772405
book-crossing_sample3_train,100k,0.05,0.0,0.55945816159938,0.026797319,0.48995991743201056
douban_sample1_train,100k,0.05,0.0,0.5408210838874545,0.5238587,0.3200710838222245
douban_sample2_train,100k,0.05,0.0,0.5388804318247757,0.5446229,0.31693787716952665
douban_sample3_train,100k,0.05,0.0,0.5432688271602875,0.529056,0.32208568233282253
epinions_sample1_train,100k,0.05,0.0,0.5946637185158404,0.03298044,0.5597345129658348
epinions_sample2_train,100k,0.05,0.0,0.5946637185158404,0.03298044,0.5597345129658348
epinions_sample3_train,100k,0.05,0.0,0.5946637185158404,0.03298044,0.5597345129658348
jester_sample1_train,100k,0.05,0.0,0.42245659177813816,0.26433134,0.2162642491953464
jester_sample2_train,100k,0.05,0.0,0.4188156069358486,0.25826156,0.22048170127833525
