dataset,Structural Perturbation RMSE,Spectral Distance,Standard SVD RMSE
amazon_digital_music_sample1.inter,3.9010,0.0117,3.8244
amazon_digital_music_sample2.inter,3.9064,0.0092,3.8311
amazon_digital_music_sample3.inter,3.8971,0.0092,3.8209
food_sample1.inter,3.9242,0.0034,3.7927
food_sample2.inter,3.9217,0.0036,3.7913
food_sample3.inter,3.9346,0.0037,3.8091
ml-1m_sample1.inter,2.2718,0.0285,1.9223
ml-1m_sample2.inter,2.2068,0.0325,1.8569
ml-1m_sample3.inter,2.2183,0.0325,1.8662
netflix_sample1.inter,2.2185,0.0342,1.8608
netflix_sample2.inter,2.2264,0.0337,1.8447
netflix_sample3.inter,2.2331,0.0339,1.8698
yelp_sample1.inter,3.3726,0.0056,3.2673
yelp_sample2.inter,3.3895,0.0057,3.2825
yelp_sample3.inter,3.3815,0.0060,3.2762
